District,Price,m² (Net),Number of rooms,Building Age,Floor location,Heating,Number of bathrooms,Balcony,Furnished,Available for Loan,Fiber Internet,Kitchen (Built-in),Security,Thermal Insulation,Generator,Indoors_Parking,Doorman,Playground,Sound insulation,Shopping_Mall,Mosque,Pharmacy,Amusement center,Hospital,High school,Market,Police station,The health clinic,District Market,Gym,University,Primary School-Secondary School,Town center,Highway,Shared_Taxi_Dolmus,E-5,Airport,Metro,Metrobus,TEM,Nature,Mezzanine,Accessibility_Score,Is_Handicap_Accessible
Bahçelievler,509000,110.0,4,0,1,1,1,1,No,Yes,0,1,0,1,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,0,0,1,0,0
Sultanbeyli,255000,100.0,3,1,2,1,2,0,No,Yes,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,1,1,1,0,0,0,1,0,1,1,0,0,0,0,0,1,0,1,1
Beyoğlu,363000,85.0,3,1,1,1,1,0,No,Yes,0,0,0,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1
Maltepe,570000,90.0,3,0,1,1,1,1,No,Yes,1,0,0,1,0,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,2,1
Bahçelievler,240000,85.0,3,16-20 between,1,1,1,1,No,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pendik,635000,97.0,4,0,2,1,2,1,No,Yes,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1,2,1
Beşiktaş,750000,90.0,3,26-30 between,1,1,1,1,No,Yes,0,0,0,0,0,0,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,0,0
Çekmeköy,720000,135.0,4,5-10 between,2,1,2,1,No,Yes,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,1,1,1,1
Arnavutköy,157000,75.0,3,0,0,1,1,0,No,Yes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sultangazi,285000,90.0,3,1,0,1,1,1,Unknown,Yes,0,1,0,1,0,0,0,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,0,1,1,1,1,1
Büyükçekmece,1350000,190.0,5,5-10 between,2,1,3,1,No,Yes,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1
Sarıyer,2925000,150.0,4,11-15 between,1,1,2,1,No,Yes,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,0,0,0,1,0,1,1,1,0,0
Adalar,450000,75.0,3,26-30 between,1,1,1,1,No,Yes,1,0,0,1,0,0,0,0,0,0,1,1,1,1,0,1,1,0,1,0,0,0,1,1,0,0,0,0,0,0,1,1,1,1
Beylikdüzü,400000,100.0,3,0,1,1,1,1,No,Yes,1,0,1,1,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,0,0
Sancaktepe,310000,100.0,3,3,0,1,1,0,Unknown,Yes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gaziosmanpaşa,350000,140.0,4,16-20 between,2,1,1,1,No,Yes,1,0,0,1,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0
Kağıthane,850000,175.0,5,5-10 between,3,1,2,1,No,Yes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1
Bayrampaşa,720000,190.0,6,0,1,1,2,1,No,Yes,0,1,0,1,0,0,0,0,1,1,1,1,0,1,1,0,1,1,0,0,0,1,1,1,1,0,0,1,0,0,0,0,0,0
Küçükçekmece,248000,70.0,3,5-10 between,0,1,1,1,No,Yes,0,1,0,1,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1,1
Ataşehir,460000,105.0,4,4,2,1,2,1,No,Yes,0,0,0,1,0,0,0,0,1,1,1,1,1,0,0,0,0,1,1,0,0,1,1,1,0,0,0,1,0,0,0,1,0,0
Maltepe,560000,100.0,4,4,1,1,1,0,No,Yes,1,0,0,1,0,1,0,0,0,0,0,0,0,1,1,1,0,1,0,1,0,1,1,0,0,1,0,1,0,0,0,1,0,0
Sultangazi,370000,100.0,3,4,2,1,2,1,Yes,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bakırköy,480000,120.0,4,21-25 between,1,1,1,1,No,Yes,1,0,0,1,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,0
Sarıyer,1899000,110.0,4,3,2,1,2,1,No,Yes,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,0
Bağcılar,205000,80.0,3,5-10 between,0,1,1,0,No,Yes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pendik,195000,80.0,3,4,2,1,1,0,No,Yes,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1
Bağcılar,265000,100.0,3,21-25 between,1,1,1,1,No,No,0,0,0,0,0,0,0,0,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,0,0,0,1,0,0
Bakırköy,925000,125.0,4,21-25 between,0,1,1,1,No,Yes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Beylikdüzü,340000,160.0,4,0,1,1,3,1,No,No,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,0,1,3,1
Ümraniye,525000,170.0,5,5-10 between,2,1,2,1,No,Yes,1,0,1,1,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,0,1,1,1,0,0,0,0
Çekmeköy,450000,100.0,4,4,1,1,2,1,No,Yes,0,1,1,1,0,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,1,1,1,3,1
Pendik,750000,170.0,5,5-10 between,2,1,2,1,No,Yes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Küçükçekmece,595000,125.0,4,5-10 between,1,1,2,1,No,Yes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Esenyurt,160000,46.0,2,5-10 between,2,1,1,1,Yes,Yes,0,0,1,0,0,1,0,1,0,0,1,1,0,1,1,1,1,1,1,1,0,1,1,0,1,0,0,0,1,0,0,1,0,0
Arnavutköy,335000,98.0,3,3,3,1,2,0,No,Yes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0
Avcılar,990000,250.0,7,2,1,1,2,1,No,Yes,1,1,0,1,1,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,0,0,0
Kağıthane,205000,55.0,2,3,0,1,1,0,No,Yes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ümraniye,335000,88.0,2,5-10 between,2,1,1,1,Yes,Yes,1,1,1,1,1,1,0,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1
Beyoğlu,970000,110.0,3,31  and more than,1,1,2,1,No,Yes,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0
Arnavutköy,306000,102.0,4,0,1,1,2,1,No,Yes,0,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,0,1,0,0,0,1,1,0,0
Kağıthane,580000,90.0,3,2,1,1,1,1,No,Yes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
Esenyurt,215000,80.0,3,21-25 between,0,1,1,1,No,Yes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bayrampaşa,195000,70.0,2,16-20 between,2,1,2,0,No,Yes,0,0,0,0,0,0,0,0,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,0,0,0,0
Beylikdüzü,430000,145.0,4,5-10 between,2,1,1,1,No,Yes,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kadıköy,380000,75.0,3,31  and more than,0,1,1,0,No,Yes,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,0,0,0,0,0,0,0,1,1
Beylikdüzü,190000,80.0,3,3,0,1,1,1,No,Yes,0,0,0,1,0,0,0,0,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,0,0,0,0
Kartal,430000,76.0,3,21-25 between,1,1,1,1,No,Yes,0,0,1,0,0,0,1,1,0,0,0,1,0,1,0,1,0,0,1,0,0,0,1,0,1,1,0,1,0,0,1,1,1,1
Sancaktepe,330000,120.0,4,0,1,1,2,1,Unknown,Yes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arnavutköy,242000,100.0,3,0,1,1,1,1,No,Yes,0,0,0,1,0,0,0,0,1,1,1,1,0,1,1,1,0,1,0,1,0,1,1,1,1,1,1,0,0,1,0,1,0,0
Sultanbeyli,259000,65.0,3,0,1,1,1,1,No,Yes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0
Arnavutköy,350000,100.0,4,2,1,1,2,1,No,Yes,0,0,0,1,0,0,0,0,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,0,0,1,0,0,0,0,1,2,1
Kartal,985000,115.0,4,1,2,1,2,1,No,Yes,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,0,1,0,0
Beyoğlu,309000,84.0,3,11-15 between,1,1,2,1,No,Yes,0,0,0,1,0,0,0,0,1,1,1,1,0,1,1,1,0,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1
Bahçelievler,260000,75.0,3,5-10 between,1,1,1,1,No,Yes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Çekmeköy,415000,150.0,5,5-10 between,2,1,2,1,No,Yes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Beşiktaş,1700000,105.0,3,26-30 between,1,1,1,1,No,Yes,0,0,0,1,0,0,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,0,0,0,1,0,0
Üsküdar,310000,55.0,2,0,0,1,1,0,Yes,Yes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Sancaktepe,213000,88.0,3,0,1,1,1,1,No,Yes,0,0,0,1,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,0,0,0,1,0,0,0,1,1,1
Zeytinburnu,300000,70.0,3,21-25 between,0,1,1,0,No,Yes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Esenler,875000,95.0,4,2,3,1,2,0,No,Yes,1,1,1,1,0,0,0,1,1,1,1,0,0,1,1,1,0,1,1,1,0,1,1,0,0,1,0,1,1,1,0,1,0,0
Beylikdüzü,179000,115.0,3,0,1,1,1,1,No,Yes,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1
Sultanbeyli,185000,75.0,3,0,0,1,1,0,No,Yes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Güngören,258000,85.0,3,21-25 between,2,1,1,1,No,Yes,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0
Büyükçekmece,1650000,165.0,4,5-10 between,0,1,2,1,No,Yes,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
Büyükçekmece,235000,75.0,3,0,1,1,1,1,No,Yes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Bahçelievler,470000,90.0,4,26-30 between,1,1,1,0,Yes,Yes,1,0,1,1,0,0,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,1,0,0
Bahçelievler,520000,95.0,4,26-30 between,1,1,1,1,No,Yes,0,0,0,1,0,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,1,1,0,0,0,0,0
Şile,300000,68.0,3,16-20 between,0,1,1,1,No,Yes,0,0,0,0,0,0,1,1,0,1,1,1,1,1,1,1,0,1,0,1,0,0,1,1,1,1,0,0,0,1,1,0,0,0
Şile,650000,138.0,5,1,1,1,2,1,No,Yes,0,1,0,1,0,0,0,0,1,1,1,0,0,1,1,1,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,2,1
Kadıköy,410000,45.0,2,0,1,1,1,0,No,Yes,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,2,1
Bayrampaşa,180000,80.0,3,0,0,1,1,1,Unknown,Yes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Silivri,175000,60.0,3,21-25 between,1,1,1,1,Yes,Yes,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,0,0,1,1,1,0,0,0
Gaziosmanpaşa,250000,90.0,3,16-20 between,0,1,1,1,No,Yes,0,0,0,0,0,0,0,0,0,1,1,1,0,1,1,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
Fatih,260000,70.0,2,11-15 between,1,1,1,1,No,Yes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0
Beyoğlu,340000,95.0,3,3,0,1,2,0,No,Yes,0,1,0,1,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,1,1
Pendik,585000,115.0,4,5-10 between,2,1,2,1,No,No,0,1,1,0,0,1,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0
Şişli,1250000,92.0,3,0,0,1,2,1,No,Yes,0,0,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,0,0
Pendik,248000,55.0,2,5-10 between,2,1,1,1,No,No,0,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,1,0,0,1,1,1,2,1
Avcılar,160000,100.0,3,0,1,1,2,1,No,Yes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sultangazi,325000,100.0,3,0,1,1,1,1,No,Yes,0,0,0,1,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,0,1,0,1,0,0
Büyükçekmece,565000,260.0,8,21-25 between,2,1,2,1,No,Yes,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,1,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0
Bahçelievler,745000,115.0,4,31  and more than,1,1,1,1,No,Yes,0,0,0,1,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,0,0,0,0,0
Tuzla,245000,87.0,3,5-10 between,1,1,1,0,No,Yes,1,1,1,0,1,0,0,1,0,1,1,1,0,1,1,1,0,1,1,0,1,1,0,0,0,1,1,0,0,1,0,1,1,1
Beşiktaş,865000,140.0,4,31  and more than,2,1,1,1,No,Yes,0,0,0,0,0,0,1,0,0,1,0,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,0,0,1,0,0
Çekmeköy,150000,65.0,2,4,0,1,1,0,No,Yes,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,1,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
Beyoğlu,610000,145.0,6,1,2,1,2,1,No,Yes,1,1,0,1,0,0,0,0,1,0,1,1,0,1,1,1,0,1,1,1,1,1,0,0,0,1,0,0,1,1,0,0,0,0
Tuzla,139000,115.0,4,11-15 between,1,0,1,1,No,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Esenyurt,105000,50.0,2,0,0,1,1,1,No,Yes,0,0,0,0,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,1,0,0,0
Pendik,265000,70.0,3,2,1,1,1,0,No,Yes,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,0,0,1,1,1,3,1
Fatih,420000,60.0,3,0,1,1,1,0,No,Yes,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0
Ataşehir,420000,110.0,4,5-10 between,1,1,1,1,No,Yes,0,0,0,1,0,0,0,0,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,0,0,0,0,0,0,1,0,0
Bayrampaşa,380000,85.0,3,26-30 between,1,1,1,1,No,Yes,0,1,0,1,0,0,0,0,0,0,1,1,0,1,1,1,1,1,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0
Arnavutköy,250000,65.0,3,0,1,1,1,1,No,Yes,0,0,0,1,0,0,0,0,0,1,1,1,0,0,1,1,0,1,1,1,0,1,1,1,0,0,1,1,0,0,0,1,0,0
Beyoğlu,430000,65.0,2,31  and more than,0,1,1,1,No,Yes,0,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,0,0,1,0,0,0,0,0,0
Küçükçekmece,470000,80.0,3,0,2,1,1,1,No,Yes,0,1,0,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,0,1,0,0,1,0,0
Bayrampaşa,420000,105.0,4,11-15 between,1,1,1,1,No,Yes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Avcılar,265000,80.0,3,5-10 between,0,1,1,1,No,Yes,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,1,1,1,0,0,1,1,1,1,1,0,0,1,0,1,0,1,1
Arnavutköy,310000,90.0,3,0,1,1,2,1,No,Yes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zeytinburnu,700000,100.0,4,0,1,1,2,1,No,Yes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fatih,355000,90.0,3,26-30 between,1,1,1,1,No,Yes,0,0,0,1,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0
Fatih,620000,115.0,4,5-10 between,1,1,2,0,No,Yes,0,0,0,1,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,0,0
Kadıköy,750000,66.0,3,2,1,1,1,0,No,Yes,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bakırköy,1375000,140.0,4,0,2,1,2,1,No,Yes,0,1,0,1,0,0,0,0,0,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0
Kartal,307000,70.0,3,0,0,1,1,0,No,Yes,0,1,0,1,0,0,0,0,0,0,1,1,0,0,1,1,1,1,1,1,1,1,0,1,0,1,0,1,0,0,0,0,1,1
Pendik,430000,85.0,3,0,1,1,1,1,No,Yes,0,0,0,1,0,1,0,0,1,1,1,1,0,1,0,1,0,1,1,1,0,1,1,1,1,1,0,0,0,0,1,1,0,0
Pendik,289000,85.0,3,0,1,1,1,1,No,Yes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bayrampaşa,259000,90.0,3,0,0,1,2,1,No,Yes,0,0,0,1,0,0,0,0,0,1,1,0,1,0,1,1,1,0,1,0,0,1,1,1,0,1,0,1,1,1,0,0,0,0
Bakırköy,2500000,155.0,4,0,0,1,2,0,No,Yes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sarıyer,4500000,250.0,7,11-15 between,0,1,3,1,No,Yes,0,0,0,1,0,0,0,0,0,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,0,0,0,0,0,1,1,0,0
Bahçelievler,465000,120.0,3,16-20 between,2,1,1,1,No,Yes,0,0,0,1,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0
Maltepe,625000,82.0,3,0,1,1,1,1,No,Yes,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,1,1,1
Fatih,1200000,180.0,6,0,1,1,2,1,No,Yes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Başakşehir,180000,62.0,3,0,0,1,1,0,No,Unknown,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0
Beylikdüzü,430000,60.0,2,4,2,1,1,1,No,Unknown,0,1,1,1,1,1,0,0,1,1,1,1,1,1,0,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,2,1
Eyüpsultan,335000,120.0,4,5-10 between,0,1,1,0,No,Yes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sarıyer,620000,38.0,1,1,3,1,1,0,No,Yes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Sarıyer,1000000,90.0,3,5-10 between,1,1,1,0,No,Yes,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0
Küçükçekmece,315000,75.0,3,0,0,1,1,0,No,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Şişli,195000,58.0,2,11-15 between,0,1,1,0,No,Yes,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1,1,1,0,0,0,0
Sarıyer,185000,75.0,3,21-25 between,0,1,1,1,No,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sancaktepe,225000,85.0,3,5-10 between,0,1,1,0,No,Yes,1,0,0,1,0,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,3,1
Beyoğlu,285000,85.0,3,0,0,1,1,0,No,Yes,0,0,0,1,0,1,0,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,1,1,0,1,0,0
Bağcılar,295000,85.0,3,5-10 between,0,1,1,1,No,Yes,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,0,0,0,0,0,0,3,1
Sancaktepe,350000,90.0,3,3,0,1,1,1,No,Yes,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
Kartal,219000,50.0,2,5-10 between,3,1,1,0,No,Yes,0,0,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,0,1,1,0,1,1
Sultanbeyli,325000,70.0,3,4,0,1,1,1,No,Yes,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,0,0,0,0,1,0,0,0
Gaziosmanpaşa,290000,110.0,4,16-20 between,0,1,1,1,No,Yes,0,0,0,1,0,0,0,0,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,0,0,0,1,0,0,0,0
Gaziosmanpaşa,390000,89.0,3,0,0,1,2,1,No,Yes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Sultangazi,355000,65.0,3,0,1,1,1,1,No,Yes,0,0,1,0,1,1,0,0,1,0,1,1,1,0,1,1,1,1,1,1,0,1,0,1,1,0,0,0,0,0,0,1,1,1
Maltepe,580000,100.0,3,2,1,1,1,1,No,Yes,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,1,1,0,0
Beşiktaş,315000,55.0,2,26-30 between,0,1,1,1,Yes,Yes,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0
Esenler,235000,70.0,2,0,1,1,1,0,No,Yes,1,0,0,1,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,0,0
Silivri,345000,138.0,4,1,0,1,2,1,No,Yes,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,0,0,1,1
Esenyurt,350000,145.0,4,16-20 between,3,1,2,1,No,Yes,0,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,0,0,0
